,ADM,CREDITO,ENTRADA,PRAZO,PARCELAS,STATUS,VENCIMENTO,TRANSFERENCIA,COD
Imovel,MAPFRE,406.600,139.900,168,2.805,Disponivel,Consultar,Consultar,CR1
Imovel,PORTO,407.000,205.000,119,2.688,Reservada,15/09/2025,Consultar,C72
Imovel,ZEMA,415.000,165.000,135,3.029,Disponivel,15/09/2025,Consultar,C07
Imovel,PORTO,420.000,208.000,236,1.780,Disponivel,15/09/2025,Consultar,C127
Imovel,PORTO,426.000,215.000,102,3.435,Disponivel,15/09/2025,5.000,C10
Imovel,PORTO,430.000,243.000,140,2.759,Disponivel,15/09/2025,4.500,C10
Imovel,PORTO,430.000,280.000,179,2.020,Disponivel,15/08/2025,5.000,C70
Imovel,CNP,432.000,115.000,74,7.310,Disponivel,10/09/2025,6.900,C127
Imovel,PORTO,445.098,256.000,141,2.634,Disponivel,15/09/2025,Consultar,C09
Imovel,PORTO,447.000,225.000,134,2.949,Reservada,15/09/2025,Consultar,C11
Imovel,HS,453.431,193.900,68,6.683,Disponivel,10/09/2025,4.400,C155
Imovel,MAGALU,457.966,185.000,107,4.798,Disponível,20/09/2025,Consultar,C156
Imovel,CAIXA,459.500,210.000,158,2.856,Disponivel,10/09/2025,4.575,C127
Imovel,PORTO,474.000,230.000,183,2.671,Disponivel,15/09/2025,Consultar,C11
Imovel,CNP,482.000,192.000,126,4.646,Disponivel,10/09/2025,Consultar,C07
Imovel,RACON,495.800,220.000,46,8.026,Disponivel,10/09/2025,Consultar,C07
Imovel,PORTO,501.000,240.000,188,3.121,Disponivel,15/09/2025,Consultar,C72
Imovel,GAZIN,503.000,210.000,212,2.896,Disponivel,15/09/2025,5.000,C02
Imovel,PORTO,518.000,270.000,149,3.125,Disponivel,15/09/2025,7.500,C10
Imovel,PORTO,524.000,260.000,176,3.363,Reservada,15/09/2025,Consultar,C11
Imovel,CNP,529.000,206.000,102,7.230,Disponivel,10/09/2025,10.000,C30
Imovel,RODOBENS,532.000,228.000,160,3.824,Destaque,10/09/2025,5.320,C28
Imovel,PORTO,534.677,257.750,144,4.245,Disponivel,15/09/2025,Consultar,C07
Imovel,PORTO,535.000,250.000,141,08 x 5.031 + 133 x 3.792,Disponivel,15/09/2025,Consultar,C10
Imovel,BRADESCO,554.000,244.000,174,3.503,Disponivel,10/09/2025,Consultar,C206
Imovel,RODOBENS,560.000,240.000,71,50 x 7.224 + 21 x 5.538,Disponivel,10/12/2025,Consultar,C93
Imovel,MYCON,583.744,305.000,157,3.530,Disponível,Consultar,Consultar,C156
